FileName	Blur	Expos	Orient	Eyes	Mouth	Overall 
--------------------------------------------------------- 
0=Failed    1=Passed    N/A=Cannot detec face/eyes/mouth 
--------------------------------------------------------- 
images\1.jpg	0	1	1	0	0	Failed
images\10.jpg	1	1	0	1	1	Failed
images\100.jpg	0	1	1	1	1	Failed
images\101.jpg	1	0	0	0	1	Failed
images\102.jpg	1	1	0	0	1	Failed
images\103.jpg	1	1	0	0	1	Failed
images\104.jpg	1	1	1	1	1	Passed
images\105.jpg	0	1	0	0	1	Failed
images\106.jpg	1	1	1	1	1	Passed
images\107.jpg	1	0	1	1	1	Failed
images\108.jpg	1	0	1	0	1	Failed
images\109.jpg	1	0	1	1	1	Failed
images\11.jpg	0	0	1	0	1	Failed
images\110.jpg	1	0	1	1	1	Failed
images\111.jpg	1	0	1	1	1	Failed
images\112.jpg	1	0	1	0	1	Failed
images\113.jpg	1	1	1	1	1	Passed
images\114.jpg	1	1	1	0	1	Failed
images\115.jpg	1	1	1	1	1	Passed
images\116.jpg	1	1	1	1	1	Passed
images\117.jpg	1	1	1	0	1	Failed
images\118.jpg	1	0	1	1	0	Failed
images\119.jpg	1	0	1	1	1	Failed
images\12.jpg	1	0	1	1	1	Failed
images\120.jpg	1	1	0	1	1	Failed
images\121.jpg	0	1	0	1	1	Failed
images\122.jpg	1	1	0	1	1	Failed
images\123.jpg	1	0	0	0	1	Failed
images\124.jpg	0	0	0	1	1	Failed
images\125.jpg	1	N/A	1	0	N/A	Failed
images\126.jpg	1	N/A	1	0	N/A	Failed
images\127.jpg	1	N/A	1	0	N/A	Failed
images\128.jpg	1	0	1	1	1	Failed
images\129.jpg	1	1	0	1	1	Failed
images\13.jpg	0	0	1	1	1	Failed
images\130.jpg	1	0	1	1	1	Failed
images\131.jpg	0	0	0	1	1	Failed
images\132.jpg	1	1	0	1	1	Failed
images\133.jpg	1	1	0	1	1	Failed
images\134.jpg	1	0	1	1	1	Failed
images\135.jpg	1	0	1	1	1	Failed
images\136.jpg	1	0	0	1	1	Failed
images\137.jpg	1	1	1	1	1	Passed
images\138.jpg	1	1	1	1	1	Passed
images\139.jpg	1	1	1	1	1	Passed
images\14.jpg	1	0	1	1	1	Failed
images\140.jpg	1	1	1	1	1	Passed
images\141.jpg	1	1	1	1	1	Passed
images\142.jpg	1	1	0	1	1	Failed
images\143.jpg	1	0	0	1	1	Failed
images\144.jpg	1	0	0	1	1	Failed
images\145.jpg	1	0	0	1	1	Failed
images\146.jpg	1	0	1	1	1	Failed
images\147.jpg	0	0	0	1	1	Failed
images\148.jpg	1	0	0	1	1	Failed
images\149.jpg	1	0	0	1	1	Failed
images\15.jpg	0	0	1	0	1	Failed
images\150.jpg	1	1	0	1	1	Failed
images\151.jpg	1	0	1	1	1	Failed
images\152.jpg	1	1	1	1	0	Failed
images\153.jpg	1	0	0	1	1	Failed
images\154.jpg	1	1	1	0	1	Failed
images\155.jpg	1	0	0	0	1	Failed
images\156.jpg	1	1	0	1	1	Failed
images\157.jpg	0	0	0	1	1	Failed
images\158.jpg	1	0	0	1	1	Failed
images\159.jpg	0	0	0	1	1	Failed
images\16.jpg	0	0	1	1	1	Failed
images\160.jpg	1	1	1	1	1	Passed
images\161.jpg	0	1	0	0	1	Failed
images\162.jpg	0	1	0	0	0	Failed
images\163.jpg	0	0	0	0	1	Failed
images\164.jpg	1	0	0	0	1	Failed
images\165.jpg	1	1	0	1	1	Failed
images\166.jpg	0	0	0	0	1	Failed
images\167.jpg	1	0	0	0	N/A	Failed
images\168.jpg	1	N/A	1	0	N/A	Failed
images\169.jpg	0	N/A	1	0	N/A	Failed
images\17.jpg	1	1	1	1	1	Passed
images\170.jpg	1	0	0	1	1	Failed
images\171.jpg	1	0	0	1	1	Failed
images\172.jpg	0	0	0	1	1	Failed
images\173.jpg	1	1	0	1	1	Failed
images\174.jpg	1	1	1	1	1	Passed
images\175.jpg	1	1	0	1	1	Failed
images\176.jpg	0	0	0	1	1	Failed
images\177.jpg	1	0	0	1	1	Failed
images\178.jpg	1	0	0	1	1	Failed
images\179.jpg	1	1	0	1	1	Failed
images\18.jpg	1	1	1	1	1	Passed
images\180.jpg	1	1	1	0	1	Failed
images\181.jpg	1	1	0	1	1	Failed
images\182.jpg	1	0	1	1	1	Failed
images\183.jpg	1	0	0	1	1	Failed
images\184.jpg	1	1	1	1	1	Passed
images\185.jpg	1	1	1	1	1	Passed
images\186.jpg	1	1	1	1	1	Passed
images\187.jpg	1	0	0	1	1	Failed
images\188.jpg	1	0	1	1	1	Failed
images\189.jpg	1	0	1	1	1	Failed
images\19.jpg	1	0	0	0	1	Failed
images\190.jpg	1	0	1	1	1	Failed
images\191.jpg	1	1	0	0	1	Failed
images\192.jpg	1	1	0	1	1	Failed
images\193.jpg	1	1	0	1	1	Failed
images\194.jpg	1	0	1	1	1	Failed
images\195.jpg	1	0	0	1	1	Failed
images\196.jpg	1	0	1	1	1	Failed
images\197.jpg	0	0	0	0	1	Failed
images\198.jpg	1	0	0	0	1	Failed
images\199.jpg	1	0	0	1	1	Failed
images\2.jpg	0	0	1	0	N/A	Failed
images\20.jpg	1	0	0	1	1	Failed
images\200.jpg	1	1	1	1	1	Passed
images\201.jpg	1	1	1	0	1	Failed
images\202.jpg	1	0	1	1	1	Failed
images\203.jpg	1	0	0	0	1	Failed
images\204.jpg	1	1	0	1	1	Failed
images\205.jpg	1	1	0	1	1	Failed
